type,cities_count,id,name,slug,parent
4,,1310,احمدآباد,ahmad-abad,6
2,,4037,احمدآبادمستوفی,ahmadabadmostofi,904
2,,1852,احمدسرگوراب,ahmadsar-gourab,889
4,,2150,احمد گوراب,ahmad-gurab,12
2,,3950,احمدی,ahmadi-city,894
4,,1366,احمدی,ahmadi,6
4,,1352,احمدی جنوبی,emam-hosein,6
4,,1049,اخترآباد,akhtarabad,2
4,,68,اختیاریه,ekhtiyariyeh,1
4,,1051,اخگرآباد,akhgarabad,2
4,,3088,ادیب نیشابوری (شهرک غرب),adib-nishaburi,3
4,,943,اراج,araj,1
4,,4172,اراضی عباس آباد,arazi-abbas-abad,1
4,,4539,اراضی فتح المبین (محمدیه),arazi-fatholmobin-mohammadiye,30
2,,15,اراک,arak,901
4,,131,ارامنه,aramaneh,1
2,,1714,ارجمند,arjmand,904
4,,4149,ارجمندی راد,arjamandi-rad,1
2,,2722,ارد,ard,898
4,,1563,ارداجی,ardaji,4
2,,17,اردبیل,ardabil,906
2,,2202,اردستان,ardestaan,890
2,,846,اردکان,ardakan,886
2,,3637,اردل,ardal,903
4,,4487,اردهه,ardeh,1754
4,,409,ارزنان,arzanaan,4
2,,3836,ارزوئیه,arezouyeh,877
2,,2725,ارژن,arzhan,898
2,,3543,ارس,aras,881
2,,3662,ارسک,arsak,876
2,,2726,ارسنجان,arsanjan,898
4,,1162,ارشاد,ershad,3
2,,3574,ارشق,arshagh,906
2,,1987,ارطه,arateh,893
4,,1554,ارغوانیه,arghavanieh,4
4,,612,ارم,haram,8
4,,522,ارم,eram-shiraz,6
4,,160,ارم,eram,1
2,,3621,ارم,oram,900
4,,3082,ارمغان,armaghan,3
2,,3650,ارمند,armand,903
2,,10,ارومیه,urmia,881
4,,1247,اروند,arvand,3
4,,3374,اروند (کشف),roostaye-arvand,3
4,,53,ازگل,ozgol,1
2,,3868,ازگله,azgaleh,905
2,,870,ازنا,azna,884
2,,2213,اژیه,ezhye,890
2,,1812,اسالم,asalem,889
4,,1903,استادسرا,ostad-saraa,12
4,,195,استاد معین,ostad-moein,1
4,,3059,استاد یوسفی (شهرک غرب),ostad-yousefi,3
4,,2056,استادیوم,estadium,708
4,,2824,استادیوم‎,estadium-marvdasht,1788
4,,4399,استاندارد,standard,2
4,,112,استخر,estakhr,1
4,,4540,استرک,estark,30
4,,1922,استقامت ۱,esteghamat,12
4,,2153,استقامت ۲,esteghamat-2,12
4,,4174,استقلال,esteghlal,1
2,,2723,استهبان,estahban,898
2,,2948,اسحاق آباد,es-haq-abad,880
4,,4248,اسد‌آباد,asadabad-shahriar,1759
4,,1042,اسدآباد,asadabad-karaj,2
4,,2264,اسدآباد,asadabad-kashan,30
2,,842,اسدآباد,asadabad,899
2,,794,اسفراین,esfarayen,896
2,,3788,اسفرورین,asfarvarin,878
2,,3861,اسفندقه,esfandagheh,877
4,,256,اسفندیاری,esfandyari,1
2,,4004,اسفیچ,asfich,886
4,,4253,اسکمان,askaman,1759
4,,283,اسکندری,eskandari,1
2,,3518,اسکو,osku,891
4,,1101,اسلام‌آباد,eslamabad,2
4,,3213,اسلام آباد,eslamabad-sabzevar,316
2,,3575,اسلام آباد,eslamabad-city,906
4,,3484,اسلام آباد شرقی,eslam-abad-sharghi,7
2,,819,اسلام‌‌آباد غرب,eslamabad-gharb,905
4,,3456,اسلام آباد غربی,eslam-abad-gharbi,7
2,,29,اسلام‌شهر,eslamshahr,904
2,,3658,اسلامیه,eslamiye,876
4,,1889,اسماعیل آباد,esmaeil-abad,12
4,,3289,اسماعیل آباد,esmaeil-abad-torbat-jam,791
4,,3375,اسماعیل آباد,esmaeilabad,3
4,,4568,اسماعیل آباد (سپاد),esmaeil-abad-sepad,3
2,,3862,اسماعیلی,esmaeili,877
4,,3406,اسماعیلیه,esmaeilieh,7
4,,2609,اسمعیل آباد,esmaeel-aabad,8
2,,2724,اسیر,asir,898
2,,3906,اشترینان,ashtarinan,884
2,,1721,اشتهارد,eshtehard,895
4,,2481,اشکاوند,ashkavand,4
2,,4005,اشکذر,ashkazar,886
2,,2716,اشکنان,ashkanan,898
2,,859,اشنویه,oshnavieh,881
4,,2415,اصفهانک,esfahanak,4
4,,1081,اصفهانی‌ها,esfahaniha,2
4,,1360,اصلاح‌نژاد,eslahnejad,6
2,,3569,اصلاندوز,aslandooz,906
4,,4260,اصیل آباد,asil-abad,1759
2,,2004,اطاقور,otaghvar,889
4,,2089,اطبا,ateba,708
4,,2386,اطشاران,atsharan,4
2,,2717,افزر,afzar,898
4,,4182,افسریه جنوبی,afsariye-jonubi,1
4,,249,افسریه شمالی,afsariyeh,1
2,,3701,افشار,afshar,879
4,,1134,اقبال,eqbal,3
4,,2476,اقبال لاهوری,eqbal-lahuri,1744
2,,1795,اقبالیه,eqbaliyeh,878
4,,4224,اقدسیه,aghadasiye,1763
4,,48,اقدسیه,aghdasieh,1
2,,1728,اقلید,eqlid,898
4,,167,اکباتان,ekbatan,1
4,,4590,اکبر آباد,akbar-abad,6
4,,1056,اکبرآباد,akbarabad,2
4,,4195,الارد,alard,1765
2,,1816,الشتر,aleshtar,884
4,,3412,الصافی,alsafi,7
4,,2662,الغدیر,alghadir-qom,8
4,,2345,الغدیر,alghadir,30
2,,2010,القجر,alghajar,897
4,,2551,الله اکبر,allah-akbar,31
4,,2843,الماس آباد,almas-abad,1788
4,,3298,المهدی,almahdi-torbat-jam,791
4,,4410,المهدی,almahdii,2
4,,143,المهدی,almahdi,1
2,,3784,الموت,almot,878
4,,3405,الهائی,alahayi,7
4,,488,الهیه,elahiyehblvd,3
4,,2450,الهیه,elahieh,1744
4,,85,الهیه,elahiyeh,1
4,,2387,الهیه,alahiyeh,4
2,,872,الوند,alvand,878
4,,2630,الوندیه و گذر صادق,alvandieh-va-gozar-sadegh,8
4,,1490,الیادران,elyderan,4
2,,830,الیگودرز,aligudarz,884
4,,3313,امام,emam-torbat-jam,791
4,,3160,امام,emam-nishabur,318
2,,3796,امام,omam,885
4,,953,امامت,tehran-emamat,1
2,,3616,امام حسن,emam-hasan,900
4,,287,امام حسین,emam-hossein,1
4,,2468,امام حسین,emam-hossein-shahin-shahr,1744
4,,1311,امام حسین,shahrak-imam-hossein,6
4,,2535,امام خمینی,emam-khomeini,31
4,,2288,امام خمینی,emam-khomeyni,30
4,,473,امام خمینی,emamkhomeini,3
4,,4185,امام خمینی,emam-khomeyni-tehran,1
4,,3139,امام خمینی,emam-khomeyni-nishabur,318
4,,3221,امام خمینی (ناوی),emam-khomeyni-navi,316
4,,478,امام رضا,emamreza,3
4,,490,امام رضا (ع),barqsquare,3
4,,2072,امامزاده,emamzadeh,708
4,,631,امامزاده ابراهیم,emamzadehebrahim,8
4,,1468,امامزاده اسماعیل,golbahar-isfahan,4
4,,1021,امام زاده حسن,imamzadeh-hasan,1
4,,4132,امام زاده عبدالله,emam-zade-abdollah,1
2,,1988,امامزاده عبدالله,emamzadeh-abdollah,893
4,,45," امام زاده قاسم (نیاوران)",emamzade-ghasem,1
4,,3058,امامیه (شهرک غرب),emamieh,3
4,,338,امانیه,amaniyeh-ahvaz,7
4,,360,امانیه,amaniyeh,1
4,,937,امجدیه (خاقانی),tehran-khaghani,1
2,,1688,املش,amlash,889
2,,1779,امیدیه,omidiyeh,902
4,,1143,امیر,kuy-e-amiralmomenin,3
4,,1217,امیر آباد,amirabad-mashhad,3
4,,91,امیرآباد,amir-abad,1
4,,3338,امیرآباد,amirabad-tos,3
4,,2546,امیرآباد,amirabad,31
2,,3717,امیرآباد,amirabad-city,882
4,,1190,امیر المومنین,kuy-e-amiralmonmenin,3
4,,276,امیر بهادر,amir-bahador,1
4,,2128,امیرشهید,amir-shahid,746
4,,2380,امیرعرب,amir-arab,4
4,,3190,امیر کبیر,amir-kabir-sabzevar,316
4,,2328,امیرکبیر,amirkabir,30
4,,2460,امیرکبیر,amir-kabir,1744
4,,2558,امیرکبیر,amirkabir-najaf-abad,31
2,,1703,امیرکلا,amirkala,893
4,,3219,امیریه,amiriyeh-sabzevar,316
4,,277,امیریه,amiriyeh,1
4,,1130,امیریه,amiriyeh-mashhad,3
4,,1421,امین‌آباد,amin-abad,4
4,,4298,امین آباد,amin-abad-gharchak,1761
4,,3340,امین آباد,aminabad,3
4,,4232,امین آباد,aminabad-rey,1763
4,,3123,امین اسلامی,amin-eslami,318
4,,1886,امین الضرب,amin-zarb,12
4,,993,امین حضور,aminhozour,1
2,,2949,انابد,anabad,880
2,,3824,انار,anar,877
2,,2214,انارک,anaarak,890
2,,1991,انبارآلوم,anbaralum,897
4,,4414,انبار مپنا,anbar-mapna,2
4,,4559,انبار نفت,anbar-naft-fardis,1751
4,,4157,انبار نفت,anbar-naft,1
4,,3019,انبارنفت,anbarnaft,3
4,,4083,انبارهای شهید طاهری,anbarha-ye-shahid-taheri,29
4,,4212,انجم آباد,anjam-abad,1765
4,,524,انجیر,kolbeh,6
4,,2773,انجیره,anjbareh,6
4,,1570,اندوان,andevan,4
4,,3232,اندیشه,andisheh-torbat-heydariyeh,1776
2,,1764,اندیشه,andisheh-new-town,904
4,,4089,اندیشه فاز ۱,andishe-faz-1,1764
4,,4092,اندیشه فاز ۲,andishe-faz-2,1764
4,,4097,اندیشه فاز ۳,andishe-faz-3,1764
4,,4098,اندیشه فاز ۴,andishe-faz-4,1764
4,,4095,اندیشه فاز ۵,andishe-faz-5,1764
4,,4099,اندیشه فاز ۶,andishe-faz-6,1764
2,,3397,اندیکا,andika,902
2,,796,اندیمشک,andimeshk,902
2,,3544,انزل,anzal,881
4,,622,انسجام,ensejam,8
4,,1195,انصار,ansar-mashhad,3
4,,630,انصار‌الحسین,ansar,8
4,,2046,انصار الحسین,ansar-alhosein,708
4,,1890,انصاری,ansari,12
4,,2047,انقلاب,enqelab-bandar-e-anzali,708
4,,2125,انقلاب,enqelab-lahijan,746
4,,1237,انقلاب,enqelab-mashhad,3
2,,3570,انگوت,angoot,906
2,,3702,انگوران,anguran,879
